schemeid,title,parameters,,
1,Interest Subvention Scheme,<2hectares,<60000,storage
2,Micro Irrigation scheme,<5hectares,<20000,Irrigation
9,Gramin Bhandaran,<3hectares,<60000,Financial
3,Prime Minister Krishi Sinchayee Yojana,<2hectares,<60000,Irrigation
4,Mission of Integrated Development Horticulture,>2hectares,<30000,Horticulture
5,National Food Security Mission,>2hectares,>30000,Marketing
6,Solar water pump scheme for farmers of Maharashtra,<5acres,>40000,Irrigation
10,Pradhan mantri kisan samman nidhi scheme,>=2hectares,>30000,Financial
9,PM Kisan Maan Dhan Yojana,>=2hectares,>40000,Financial
7,Livestock Insurance Scheme,>5hectares,>50000,Cattle
11,Soil Health Card,>2hectares,<30000,Soil
12,Soil Health Management,>5hectares,<50000,soil
13,Unified National agriculture market,>5hectares,>40000,Marketing
14,Integrated Scheme for agricultural marketing,<2hectares,<20000,Marketing
15,Neem coated urea scheme,>2hectares,>30000,Fertilizers
16,Pradhan Mantri fasal bima yojana,>2hectares,<40000,Climatic Change
17,Agriculture Contingency Plan,<2hectares,<10000,Climatic Change
18,Rainfed area development Programme,>3hectares,<40000,Climatic Change
19,National Mission for substantial agriculture,>3hectares,>100000,Climatic Change
20,National Scheme on Welfareof Fisherman,>3hectares,>40000,Poultry
21,Scheme of fisheries Training And Extension,<2hectares,<60000,Poultry
